,0
43,"['EOSUSDT', 'ATOMUSDT', 'YFIUSDT', 'FTMUSDT', '1INCHUSDT', 'CHRUSDT', 'ONEUSDT', 'BAKEUSDT', 'LPTUSDT', 'DUSKUSDT']"
44,"['ALGOUSDT', 'BANDUSDT', 'UNFIUSDT', 'CHRUSDT', 'ONEUSDT', 'ANTUSDT', 'DUSKUSDT', 'WOOUSDT', 'DARUSDT']"
45,"['BANDUSDT', 'LINAUSDT', 'FLOWUSDT', 'DODOBUSD']"
46,"['LTCUSDT', 'LINKUSDT', 'RLCUSDT', 'SFPUSDT', 'CHRUSDT', 'ALICEUSDT', 'ONEUSDT', 'ANTUSDT', 'DUSKUSDT', 'DARUSDT']"
47,"['DASHUSDT', 'VETUSDT', 'RLCUSDT', 'SNXUSDT', 'DOTUSDT', 'CTKUSDT', 'COTIUSDT', 'ONEUSDT', 'CTSIUSDT', 'ROSEUSDT']"
48,"['LINKUSDT', 'HBARUSDT']"
49,"['XLMUSDT', 'ATOMUSDT', 'RLCUSDT', 'MKRUSDT', 'BALUSDT', 'FILUSDT', 'XEMUSDT', 'ROSEUSDT']"
50,"['EOSUSDT', 'ETCUSDT', 'BALUSDT', 'XEMUSDT']"
51,"['EOSUSDT', 'ETCUSDT', 'SXPUSDT', 'RLCUSDT', 'GALAUSDT']"
52,"['EOSUSDT', 'KNCUSDT', 'ICXUSDT', 'TOMOUSDT', 'ANKRUSDT', 'ALICEUSDT', 'BAKEUSDT', 'DARUSDT']"
53,"['SNXUSDT', 'ANKRUSDT', 'ALICEUSDT', 'CELRUSDT', 'HOTUSDT', 'JASMYUSDT']"
54,"['IOSTUSDT', 'BLZUSDT', 'ANKRUSDT', 'CELRUSDT', 'BAKEUSDT', 'OPUSDT']"
55,"['XRPUSDT', 'ONTUSDT', 'IOSTUSDT', 'KNCUSDT', 'OMGUSDT', 'YFIUSDT', 'FTMUSDT', 'KSMUSDT', 'ANKRUSDT', 'BAKEUSDT', 'AUDIOUSDT', 'PEOPLEUSDT']"
56,"['ATOMUSDT', 'ONTUSDT', 'RSRUSDT', 'SKLUSDT', 'CELRUSDT', 'MTLUSDT', 'OPUSDT']"
57,"['ETHUSDT', 'SXPUSDT', 'LRCUSDT', 'MATICUSDT', 'ZENUSDT', 'REEFUSDT', 'ALICEUSDT', 'CTSIUSDT', 'ENSUSDT', 'DUSKUSDT', 'IMXUSDT', 'WOOUSDT']"
58,"['ETHUSDT', 'SXPUSDT', 'SNXUSDT', 'BLZUSDT', 'AVAXUSDT', 'FLMUSDT', 'NEARUSDT', 'LRCUSDT', 'MATICUSDT', 'BELUSDT', 'SANDUSDT', 'KLAYUSDT']"
59,"['ETHUSDT', 'COMPUSDT', 'SXPUSDT', 'EGLDUSDT', 'AVAXUSDT', 'FLMUSDT', 'NEARUSDT', 'ZENUSDT', 'SANDUSDT', 'KLAYUSDT']"
60,"['YFIUSDT', 'MATICUSDT', 'BELUSDT', 'ONEUSDT', 'CELRUSDT', 'GMTUSDT']"
61,"['ETHUSDT', 'ZECUSDT', 'VETUSDT', 'SOLUSDT', 'BELUSDT', 'CELRUSDT', 'ARPAUSDT']"
62,"['ETHUSDT', 'BLZUSDT', 'BELUSDT', 'OGNUSDT']"
63,"['ATOMUSDT', 'AAVEUSDT', 'MATICUSDT']"
64,"['LINKUSDT', 'NEOUSDT', 'MATICUSDT', 'ALPHAUSDT', '1INCHUSDT']"
65,"['LINKUSDT', 'UNIUSDT', 'TOMOUSDT', 'IOTXUSDT', 'DUSKUSDT']"
66,"['LINKUSDT', 'DASHUSDT', 'BALUSDT', 'ENJUSDT', 'KSMUSDT', 'ZENUSDT', 'IOTXUSDT', 'DUSKUSDT']"
67,"['THETAUSDT', 'OMGUSDT', 'SXPUSDT', 'BALUSDT', 'KSMUSDT', 'COTIUSDT', 'IOTXUSDT', 'AUDIOUSDT', 'KLAYUSDT', 'CTSIUSDT', 'DUSKUSDT']"
68,"['EOSUSDT', 'COTIUSDT', 'OGNUSDT', 'NKNUSDT', 'AUDIOUSDT', 'ARPAUSDT', 'CTSIUSDT']"
69,"['EOSUSDT', 'DASHUSDT', 'NEOUSDT', 'CRVUSDT', 'OGNUSDT', 'NKNUSDT', 'ROSEUSDT', 'GALUSDT']"
70,"['ETHUSDT', 'NEOUSDT', 'DOTUSDT', 'BAKEUSDT', 'DARUSDT']"
71,"['ETHUSDT', 'DASHUSDT', 'NEOUSDT', 'DOTUSDT', 'SUSHIUSDT', 'UNIUSDT', 'GRTUSDT', 'RVNUSDT', 'LINAUSDT', 'BAKEUSDT']"
72,"['BATUSDT', 'ALGOUSDT', 'MKRUSDT', 'FTMUSDT', 'ENJUSDT', 'SKLUSDT', 'ONEUSDT', 'BAKEUSDT', 'IOTXUSDT', 'AUDIOUSDT', 'ARUSDT', 'ROSEUSDT']"
73,"['ATOMUSDT', 'RLCUSDT', 'MKRUSDT', 'ENJUSDT', 'KSMUSDT', 'AAVEUSDT', 'LRCUSDT', 'SKLUSDT', 'COTIUSDT', 'HBARUSDT', 'AUDIOUSDT', 'ARUSDT', 'FLOWUSDT', 'API3USDT']"
74,"['XTZUSDT', 'RLCUSDT', 'MKRUSDT', 'LRCUSDT', 'CELRUSDT', 'AUDIOUSDT', 'FLOWUSDT']"
75,"['XTZUSDT', 'STORJUSDT', 'STMXUSDT', 'CELRUSDT', 'ARUSDT']"
76,"['BTCUSDT', 'XTZUSDT', 'BATUSDT', 'RVNUSDT', 'STMXUSDT', 'CELRUSDT', 'HOTUSDT', 'MTLUSDT', 'ARUSDT', 'IMXUSDT']"
77,"['BTCUSDT', 'XTZUSDT', 'BATUSDT', 'DEFIUSDT', 'STMXUSDT', 'CELRUSDT', 'LPTUSDT', 'FLOWUSDT', 'IMXUSDT', 'WOOUSDT']"
78,"['BATUSDT', 'SNXUSDT', 'KSMUSDT', 'LITUSDT', 'OGNUSDT', 'ARUSDT', 'LPTUSDT', 'FLOWUSDT', 'DARUSDT']"
79,"['THETAUSDT', 'SNXUSDT', 'FILUSDT', 'RSRUSDT', 'BELUSDT', 'HOTUSDT', 'MASKUSDT']"
80,"['RENUSDT', 'FILUSDT', 'MATICUSDT', 'BELUSDT', 'GRTUSDT', 'SFPUSDT', 'ALICEUSDT', 'LINAUSDT']"
81,"['BLZUSDT', 'OCEANUSDT', 'BELUSDT', 'LINAUSDT', 'DENTUSDT', 'ARUSDT', 'ENSUSDT', 'GALUSDT']"
82,"['LTCUSDT', 'ATOMUSDT', 'RENUSDT', 'BELUSDT', 'SKLUSDT', 'COTIUSDT', 'MANAUSDT', 'STMXUSDT', 'BAKEUSDT', 'GTCUSDT', 'ENSUSDT']"
83,"['LTCUSDT', 'ATOMUSDT', 'STMXUSDT', 'MTLUSDT', 'LPTUSDT']"
84,"['ALGOUSDT', 'SKLUSDT', 'ANKRUSDT', 'STMXUSDT', 'NKNUSDT', 'FLOWUSDT', 'API3USDT']"
85,"['ONTUSDT', 'ALGOUSDT', 'STORJUSDT', 'OGNUSDT']"
86,"['ZECUSDT', 'ONTUSDT', 'EGLDUSDT', 'STORJUSDT', 'MATICUSDT', '1INCHUSDT', 'ANKRUSDT', 'REEFUSDT', 'NKNUSDT']"
87,"['ADAUSDT', 'ZILUSDT', 'CRVUSDT', 'ENJUSDT', 'RSRUSDT', 'MATICUSDT', 'BELUSDT', 'RVNUSDT', 'BAKEUSDT', 'API3USDT']"
88,"['BTCUSDT', 'ONTUSDT', 'THETAUSDT', 'ZILUSDT', 'BELUSDT', 'COTIUSDT', 'NKNUSDT']"
